"tract","Name","Incarceration_Rate_rP_gP_p25"
6085508102,"Santa Clara, CA",0.0762
6085507301,"Saratoga, CA",0.0746
6085507402,"Quito Village, Saratoga, CA",0.0333
6085511707,"Cupertino, CA",0.0283
6085505500,"Santa Clara, CA",0.0268
6085506702,"San Tomas, Campbell, CA",0.0266
6085505900,"Santa Clara, CA",0.0244
6085506304,"Blackford, San Jose, CA",0.0226
6085508304,"Sunnyvale West, Sunnyvale, CA",0.0205
6085506302,"Lynhaven, San Jose, CA",0.0181
6085506301,"West San Jose, San Jose, CA",0.0171
6085506202,"Country Lane, San Jose, CA",0.0167
6085507906,"West San Jose, San Jose, CA",0.013
6085508004,"Rancho Rinconada, Cupertino, CA",0.0125
6085506204,"Strawberry Park, San Jose, CA",0.0114
6085511704,"Los Altos Hills, CA",0.0113
6085505403,"Santa Clara, CA",0.0105
6085506701,"San Tomas, Campbell, CA",0.0104
6085507401,"Golden Triangle, Saratoga, CA",0.0089
6085508303,"Sunnyvale West, Sunnyvale, CA",0.0088
6085506000,"Santa Clara, CA",0.0087
6085506501,"Cadillac East, San Jose, CA",0.0084
6085506103,"Santa Clara, CA",0.0084
6085508203,"Sunnyvale, CA",0.0074
6085506604,"West San Jose, San Jose, CA",0.007
6085507703,"Cupertino, CA",0.0063
6085508301,"Sunnyvale, CA",0.0061
6085506601,"Castro, San Jose, CA",0.0059
6085507600,"Saratoga, CA",0.0058
6085506101,"Santa Clara, CA",0.0058
6085508001,"Cupertino, CA",0.0054
6085507903,"Joaquin Miller, San Jose, CA",0.0052
6085506305,"West San Jose, San Jose, CA",0.0042
6085507702,"Cupertino, CA",0.0042
6085506203,"West San Jose, San Jose, CA",0.0036
6085506605,"West San Jose, San Jose, CA",0.003
6085507805,"Cupertino, CA",0.0027
6085508101,"Cupertino, CA",0.0021
6085508003,"Rancho Rinconada, Cupertino, CA",0.0018
6085507500,"Saratoga, CA",0.0016
6085505402,"Santa Clara, CA",0.0015
6085507701,"Cupertino, CA",0.0011
6085508202,"Birdland Neighbors, Sunnyvale, CA",0.0007
6085507905,"West San Jose, San Jose, CA",0.0004
6085511702,"Country Club, Los Altos, CA",0
6085507808,"Cupertino, CA",0
6085507806,"Cupertino, CA",0
6085510002,"South Los Altos, Los Altos, CA",0
6085506102,"Santa Clara, CA",0
6085506606,"Campbell, CA",0
6085510100,"Woodland Acres - The Highlands, Los Altos, CA",0
6085507807,"Cupertino, CA",0
6085508204,"Panama Park, Sunnyvale, CA",0
6085507904,"Lynbrook, San Jose, CA",0
6085506603,"San Tomas Aquinos, Campbell, CA",0
