"tract","Name","Incarceration_Rate_rP_gP_pall"
6085508304,"Sunnyvale West, Sunnyvale, CA",0.0142
6085506601,"Castro, San Jose, CA",0.0119
6085508102,"Santa Clara, CA",0.011
6085506304,"Blackford, San Jose, CA",0.01
6085506101,"Santa Clara, CA",0.009
6085506603,"San Tomas Aquinos, Campbell, CA",0.0081
6085508004,"Rancho Rinconada, Cupertino, CA",0.0077
6085508203,"Sunnyvale, CA",0.0073
6085507206,"Monte Sereno, CA",0.0071
6085506701,"San Tomas, Campbell, CA",0.0069
6085507805,"Cupertino, CA",0.0063
6085506204,"Strawberry Park, San Jose, CA",0.0058
6085506103,"Santa Clara, CA",0.0046
6085506305,"West San Jose, San Jose, CA",0.0045
6085507402,"Quito Village, Saratoga, CA",0.0043
6085506203,"West San Jose, San Jose, CA",0.004
6085506703,"San Tomas, Campbell, CA",0.0038
6085507301,"Saratoga, CA",0.0035
6085506605,"West San Jose, San Jose, CA",0.0032
6085505403,"Santa Clara, CA",0.0029
6085507808,"Cupertino, CA",0.0027
6085506202,"Country Lane, San Jose, CA",0.0026
6085507903,"Joaquin Miller, San Jose, CA",0.0023
6085508301,"Sunnyvale, CA",0.002
6087120500,"Boulder Creek, CA",0.002
6085506604,"West San Jose, San Jose, CA",0.0017
6085505402,"Santa Clara, CA",0.0015
6085507701,"Cupertino, CA",0.0015
6085511707,"Cupertino, CA",0.0015
6085508003,"Rancho Rinconada, Cupertino, CA",0.0012
6085507906,"West San Jose, San Jose, CA",0.0012
6085508001,"Cupertino, CA",0.0012
6085511704,"Los Altos Hills, CA",0.001
6085507703,"Cupertino, CA",0.001
6085508204,"Panama Park, Sunnyvale, CA",0.0009
6085508202,"Birdland Neighbors, Sunnyvale, CA",0.0007
6085508303,"Sunnyvale West, Sunnyvale, CA",0.0006
6085507401,"Golden Triangle, Saratoga, CA",0.0004
6085508101,"Cupertino, CA",0.0003
6085506606,"Campbell, CA",0.0003
6085507806,"Cupertino, CA",0.0002
6085507205,"Los Gatos, CA",0.0002
6085511702,"Country Club, Los Altos, CA",0
6085507905,"West San Jose, San Jose, CA",0
6081613800,"Pescadero, CA",0
6085510002,"South Los Altos, Los Altos, CA",0
6085506102,"Santa Clara, CA",0
6085507600,"Saratoga, CA",0
6085507500,"Saratoga, CA",0
6085510100,"Woodland Acres - The Highlands, Los Altos, CA",0
6085507302,"Saratoga, CA",0
6085507807,"Cupertino, CA",0
6085507904,"Lynbrook, San Jose, CA",0
6085507702,"Cupertino, CA",0
