tract,Name,Incarceration_Rate_rP_gP_pall,Incarceration_Rate_rP_gP_p75,Incarceration_Rate_rP_gP_p50,Incarceration_Rate_rP_gP_p25
24510120500,"Greenmount West, Baltimore, MD",0.1268,0.1486,0.1426,0.1305
24510080800,"Broadway East, Baltimore, MD",0.1161,0.1271,0.1189,0.1135
24510080400,"Broadway East, Baltimore, MD",0.1066,0.1066,0.1039,0.1128
24510180100,"Poppleton, Baltimore, MD",0.1033,0.1028,0.0987,0.1091
24510160200,"Sandtown-Winchester, Baltimore, MD",0.0996,0.0954,0.097,0.1061
24510200400,"Shipley Hill, Baltimore, MD",0.0987,0.0931,0.0915,0.1056
24510090900,"Oliver, Baltimore, MD",0.0931,0.0852,0.0897,0.105
24510250204,"Cherry Hill, Baltimore, MD",0.0911,0.0841,0.0885,0.102
24510100100,"Johnson Square, Baltimore, MD",0.0897,0.0812,0.0873,0.0998
24510200100,"Lexington, Baltimore, MD",0.0883,0.0782,0.0769,0.0984
24510070200,"Madison - Eastend, Baltimore, MD",0.0865,0.0763,0.073,0.0982
24510190100,"Franklin Square, Baltimore, MD",0.0843,0.075,0.0705,0.0927
24510250301,"Westport, Baltimore, MD",0.0843,0.0691,0.0695,0.0911
24510070400,"Gay Street, Baltimore, MD",0.0825,0.0666,0.0694,0.0901
24510200702,"Saint Joseph's, Baltimore, MD",0.0775,0.0653,0.0658,0.0872
24510080301,"Berea, Baltimore, MD",0.0775,0.0639,0.0658,0.0854
24510140300,"Druid Heights, Baltimore, MD",0.0769,0.0578,0.0639,0.085
24510080700,"Broadway East, Baltimore, MD",0.0768,0.0574,0.0638,0.0849
24510140200,"Upton, Baltimore, MD",0.0758,0.0563,0.0592,0.0838
24510120400,"Barclay, Baltimore, MD",0.0743,0.0549,0.058,0.0824
24510080200,"Broadway East, Baltimore, MD",0.074,0.0549,0.0578,0.0806
24510160700,"Rosemont, Baltimore, MD",0.0725,0.0526,0.0571,0.0795
24510170100,"Downtown, Baltimore, MD",0.0725,0.051,0.0565,0.0787
24510200200,"Lexington, Baltimore, MD",0.0722,0.0501,0.0563,0.0779
24510130200,"Reservoir Hill, Baltimore, MD",0.0722,0.0501,0.0557,0.0778
24510190200,"Pratt Monroe, Baltimore, MD",0.0708,0.0498,0.0554,0.0773
24510130300,"Penn North, Baltimore, MD",0.0704,0.0496,0.0546,0.0762
24510120600,"Old Goucher, Baltimore, MD",0.0703,0.048,0.0539,0.0757
